"DataItemPath","FieldName","DamId","Src","LocalFile","AssetId","PublicUrl","File"
"/sitecore/content/brother/brother/Data/Headers/Site Header","Logo","ttgHy3GkSSy_dXtu0bltIA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/817db3cf8a20462fa960218661a61890","brother-logo.png","103746","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/817db3cf8a20462fa960218661a61890","brother\brother\Data\Headers\Site Header.yml"
"/sitecore/content/brother/brother/Data/Hero Banners/Home Banner","Image","T6NciubgQii6Qwfn7NA7Vw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/e3ef5869a8d14fd7987473d81f9a0bc1","product-vc-500w-with-laptop.jpg","103762","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/e3ef5869a8d14fd7987473d81f9a0bc1","brother\brother\Data\Hero Banners\Home Banner.yml"
"/sitecore/content/brother/brother/Data/Hero Banners/Home Banner","PromoImage","WJPs7yvfTzOeRc62TQnsSA","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/ac8967c80c3148c493e18ea460265c21","product-vc-500w.jpg","103753","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/ac8967c80c3148c493e18ea460265c21","brother\brother\Data\Hero Banners\Home Banner.yml"
"/sitecore/content/brother/brother/Data/Product Listings/All Devices Listing","Image","inLFeXV_TR2Eiz-w6iJs-w","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/61982902f9c04d2eaa0f62c1dbadeff5","web-office-labelling-banner.jpg","104403","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/61982902f9c04d2eaa0f62c1dbadeff5","brother\brother\Data\Product Listings\All Devices Listing.yml"
"/sitecore/content/brother/brother/Data/Product Listings/Labelling Listing","Image","ZqnB_0UyRDejAZJfQF0kdg","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/22c4718f5b134ecdbbd9c6838ce00a0e","category-office-labelling.jpg","103847","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/22c4718f5b134ecdbbd9c6838ce00a0e","brother\brother\Data\Product Listings\Labelling Listing.yml"
"/sitecore/content/brother/brother/Data/Product Listings/Printers Listing","Image","LNgGvuYaTVe8MsvjkckJ2A","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/8c1c0fc813344a4eb60c08d7552c48c1","web-mps-essential-purchase.jpg","104167","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/8c1c0fc813344a4eb60c08d7552c48c1","brother\brother\Data\Product Listings\Printers Listing.yml"
"/sitecore/content/brother/brother/Data/Product Listings/Scanners Listing","Image","cSLaBElYRTmr0HzKqAhYfw","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/a7f0e25d5ce6428194c3e0ad50c0f217","web-office-labelling-2.jpg","104368","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/a7f0e25d5ce6428194c3e0ad50c0f217","brother\brother\Data\Product Listings\Scanners Listing.yml"
"/sitecore/content/brother/brother/Data/Promo Grids/Home Promo Grid - Izzy","CardOneImage","6MqAX2maQjOpa6pcZRS-_g","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/33e984b8ed114a21b8118ebc58e91025","campaign-at-your-side.jpg","103819","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/33e984b8ed114a21b8118ebc58e91025","brother\brother\Data\Promo Grids\Home Promo Grid - Izzy.yml"
"/sitecore/content/brother/brother/Data/Promo Grids/Home Promo Grid - Izzy","CardTwoImage","QKBdluJySPSInqACrd9yfg","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/14c8750de8814f39b4e396c92b37092c","product-vc-500w-colour-labels.jpg","103771","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/14c8750de8814f39b4e396c92b37092c","brother\brother\Data\Promo Grids\Home Promo Grid - Izzy.yml"
"/sitecore/content/brother/brother/Data/Promo Grids/Home Promo Grid - Izzy","CardThreeImage","Y39Wu6IrQTGwfpSATf2p2g","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/478c5aaa485b4fdf98b7a12f7ac006c8","lifestyle-home-office-desk.jpg","103810","https://starter-verticals-2.sitecoresandbox.cloud/api/public/content/478c5aaa485b4fdf98b7a12f7ac006c8","brother\brother\Data\Promo Grids\Home Promo Grid - Izzy.yml"
